school_id,name,admission_month,duration
1,1年6ヶ月課程,4,18
1,2年課程,4,24
2,日本語2年コース,4,24
2,日本語1年半コース,10,18
3,進学2年コース（4月入学）,4,24
3,進学1.5年コース（10月入学）,10,18
4,2年コース,4,24
4,1年6か月コース,10,18
6,1年6ヶ月コース,10,18
6,2年コース,4,24
7,日本語学科（1年コース）,4,12
7,日本語学科（1年6か月コース）,10,18
8,進学コース（2年）,4,24
8,進学コース（1年9ヶ月）,7,21
8,進学コース（1年6ヶ月）,10,18
9,4月入学,4,24
9,7月入学,7,21
9,10月入学,10,18
9,1月入学,1,15
10,進学2年コース,4,24
10,進学1年半コース,10,18
11,4月入学,4,24
11,10月入学,10,18
13,進学２年コース,4,24
14,2年コース（4月入学）,4,24
14,1年6か月コース（10月入学）,10,18
16,進学2年コース,4,24
17,2年コース（4月入学）,4,24
17,1年6ヶ月コース（10月入学）,10,18
20,進学2年コース（4月入学）,4,24
20,進学1年半コース（10月入学）,10,18
21,進学2年コース,4,24
21,進学1年6か月コース,10,18
23,進学2年コース 4月入学,4,24
23,進学1年6か月コース 10月入学,10,18
25,進学2年コース ,4,24
25,進学1.5年コース ,10,18
26,進学2年コース ,4,24
26,進学1年6か月コース,10,18
27,1年6ヶ月コース（進学）,10,18
27,2年コース（進学）,4,24
28,2年コース(4月入学),4,24
28,1.5年コース(10月入学),10,18
30,4月入学,4,24
30,10月入学,10,18
31,2年コース,4,24
31,1.6年コース,10,18
33,進学2年コース ,4,24
33,進学1.5年コース ,10,18
34,進学コースA,4,24
34,進学コースB,7,21
34,進学コースC,10,18
35,日本語学科1年,4,12
35,日本語学科1年6か月 ,10,18
35,日本語学科2年,4,24
36,進学2年コース,4,24
36,進学1年6か月コース,10,18
37,一般コース（2年）,4,24
37,一般コース（1年6か月）,10,18
38,2年コース,4,24
38,1.5年コース,10,18
40,進学2年コース,4,24
40,進学1年9ヶ月コース,7,21
40,進学1年6ヶ月コース,10,18
41,2年コース,4,24
41,1年6ヶ月コース,10,18
42,進学2年コース,4,24
43,４月期生,4,24
43,７月期生,7,21
43,１０月期生,10,18
44,進学2年コース,4,24
44,進学1年9ヵ月コース,7,21
44,進学1年6ヵ月コース,10,18
44,進学1年3ヵ月コース,1,15
45,2年コース,4,24
45,1年コース,4,12
46,2年コース,4,24
46,1年6か月コース,10,18
46,1年9か月コース,7,21
46,実用日本語1年コース,10,24